2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
MIN,LAL,LAL,MIN,LAL,LAL,PHO,LAL,SAS,LAL,DEN,OKC,OKC,OKC,HOU,GSW,NOP,CLE,LAL
PHI,PHI,PHI,PHI,IND,PHI,MIA,CLE,ORL,ORL,CLE,MIA,NYK,CLE,CLE,TOR,TOR,HOU,GSW
PHO,PHO,SAS,SAS,MIN,HOU,HOU,HOU,DEN,NOH,DAL,LAL,LAL,MIN,GSW,LAL,HOU,GSW,HOU
TOR,TOR,WAS,ORL,PHI,CLE,CLE,MIA,CLE,CLE,MIA,CHI,MIA,MIA,NYK,IND,MIL,TOR,MIL
SAS,SAC,MIN,LAL,SAS,HOU,LAL,DAL,DEN,PHO,PHO,NOH,LAC,LAC,MEM,SAS,GSW,OKC,GSW
MIA,ORL,PHI,WAS,DET,MIA,PHI,TOR,NJN,MIA,ORL,NYK,MIA,IND,WAS,NYK,CLE,GSW,OKC
LAL,SAS,SAC,HOU,HOU,SAS,SAS,SAS,HOU,SAS,PHO,DEN,LAC,GSW,GSW,OKC,GSW,BOS,BOS
CHH,TOR,NJN,IND,ORL,NJN,MIA,WAS,MIA,BOS,ATL,ORL,MIA,NYK,CHI,MIA,CLE,MIL,PHI
LAL,MIN,HOU,HOU,HOU,MIN,HOU,MIN,LAL,HOU,SAS,SAS,LAL,HOU,POR,OKC,SAS,NOP,TOR
DET,MIA,BOS,DET,TOR,ORL,NJN,MIA,TOR,DET,BOS,MIA,BOS,MIA,TOR,CLE,CHI,PHI,CHO
POR,POR,DAL,LAL,SEA,SEA,SAS,DEN,POR,POR,UTA,LAL,HOU,LAC,LAC,HOU,MEM,OKC,POR
IND,ATL,MIL,NJN,NJN,MIA,DET,IND,BOS,ATL,TOR,MIA,CLE,CHI,CLE,WAS,IND,TOR,MIL
SEA,DAL,DAL,PHO,LAL,SAS,SEA,SAS,NOH,SAS,DEN,SAS,SAS,HOU,OKC,GSW,OKC,DET,GSW
NYK,MIL,ORL,TOR,NJN,IND,DET,ORL,DET,ORL,BOS,BOS,IND,WAS,ATL,ATL,WAS,GSW,DET
SAC,SEA,SEA,DAL,MIN,DAL,PHO,PHO,DAL,DEN,LAL,UTA,OKC,POR,SAC,LAC,GSW,WAS,WAS
MIL,NJN,BOS,BOS,NOH,CLE,TOR,ATL,DET,BOS,CHA,ATL,CHI,TOR,ATL,BOS,CHO,POR,OKC
UTA,DEN,LAC,DAL,SAC,PHO,LAC,SEA,PHO,LAL,OKC,LAC,GSW,SAS,POR,NOP,UTA,IND,PHI
MIL,MIL,ATL,IND,IND,BOS,DET,DET,DET,BOS,CHI,BOS,NYK,ATL,ATL,TOR,NYK,GSW,DEN
DAL,SAS,SAC,SEA,DAL,PHO,MIN,PHO,PHO,NOH,MEM,DAL,MEM,NOP,SAS,SAS,GSW,CHO,MIN
ATL,NYK,IND,NOH,NOH,WAS,BOS,NJN,ATL,NJN,ATL,BOS,CHI,IND,ATL,DET,BOS,MIN,TOR
SAS,SAC,MIN,PHO,UTA,PHO,DAL,DAL,UTA,DAL,LAC,OKC,POR,POR,DAL,GSW,LAC,MIA,SAS
DET,DET,MIA,BOS,MIL,DET,DET,WAS,BOS,CLE,NYK,ATL,PHI,MIA,MIA,CHI,TOR,BOS,BRK
UTA,UTA,,SAC,SAC,SEA,MEM,UTA,NOH,PHO,DAL,MIN,SAS,DAL,OKC,SAC,SAC,SAS,MIA
IND,NYK,CHH,CLE,BOS,WAS,WAS,DET,WAS,IND,BOS,BOS,BRK,BRK,CHI,ATL,ATL,,ORL
,,,,,,,,,,,,,,,,,,NOP
,,,,,,,,,,,,,,,,,,DAL